asset_id,symbol,name,class_code,sector_code,sub_sector_code,chain_ecosystem,effective_from
btc,BTC,Bitcoin,10,1010,101010,BTC,2024-05-23
eth,ETH,Ethereum,20,2010,201010,ETH,2024-05-23
bnb,BNB,BNB,30,3020,302030,BNB,2024-05-23
xrp,XRP,XRP,10,1020,102030,OTHER,2024-05-23
sol,SOL,Solana,20,2010,201010,SOL,2024-05-23
trx,TRX,TRON,20,2010,201010,TRX,2024-05-23
doge,DOGE,Dogecoin,10,1020,102010,BTC,2024-05-23
hype,HYPE,Hyperliquid,30,3010,301020,OTHER,2024-05-23
zec,ZEC,Zcash,10,1020,102020,BTC,2024-05-23
ada,ADA,Cardano,20,2010,201010,OTHER,2024-05-23
bch,BCH,Bitcoin Cash,10,1010,101010,BTC,2024-05-23
xmr,XMR,Monero,10,1020,102020,BTC,2024-05-23
link,LINK,Chainlink,20,2030,203010,ETH,2024-05-23
cc,CC,Canton,20,2010,201010,OTHER,2024-05-23
ton,TON,Toncoin,20,2010,201010,OTHER,2024-05-23
xlm,XLM,Stellar,10,1020,102030,OTHER,2024-05-23
sui,SUI,Sui,20,2010,201010,MOVE,2024-05-23
ltc,LTC,Litecoin,10,1010,101010,BTC,2024-05-23
avax,AVAX,Avalanche,20,2010,201010,AVAX,2024-05-23
hbar,HBAR,Hedera,20,2010,201010,OTHER,2024-05-23
shib,SHIB,Shiba Inu,10,1020,102010,ETH,2024-05-23
cro,CRO,Cronos,30,3020,302030,OTHER,2024-05-23
near,NEAR,NEAR Protocol,20,2010,201010,NEAR,2024-05-23
xaut,XAUT,Tether Gold,40,4020,402010,ETH,2024-05-23
tao,TAO,Bittensor,30,3040,304020,OTHER,2024-05-23
uni,UNI,Uniswap,30,3010,301010,ETH,2024-05-23
dot,DOT,Polkadot,20,2020,202030,OTHER,2024-05-23
mnt,MNT,Mantle,20,2020,202010,ETH,2024-05-23
paxg,PAXG,PAX Gold,40,4020,402010,ETH,2024-05-23
wlfi,WLFI,World Liberty Financial,30,3010,301092,ETH,2024-05-23
ondo,ONDO,Ondo,30,3010,301092,ETH,2024-05-23
aster,ASTER,Aster,30,3010,301020,BNB,2024-05-23
okb,OKB,OKB,30,3020,302030,OTHER,2024-05-23
sky,SKY,Sky,30,3010,301040,ETH,2024-05-23
pi,PI,Pi Network,20,2010,201010,OTHER,2024-05-23
pepe,PEPE,Pepe,10,1020,102010,ETH,2024-05-23
icp,ICP,Internet Computer,20,2010,201010,OTHER,2024-05-23
etc,ETC,Ethereum Classic,20,2010,201010,OTHER,2024-05-23
aave,AAVE,Aave,30,3010,301030,ETH,2024-05-23
morpho,MORPHO,Morpho,30,3010,301030,ETH,2024-05-23
qnt,QNT,Quant,30,3040,304010,ETH,2024-05-23
atom,ATOM,Cosmos Hub,20,2020,202030,COSMOS,2024-05-23
algo,ALGO,Algorand,20,2010,201010,OTHER,2024-05-23
render,RENDER,Render,30,3040,304020,SOL,2024-05-23
pol,POL,POL,20,2020,202010,ETH,2024-05-23
wld,WLD,Worldcoin,20,2030,203020,ETH,2024-05-23
kas,KAS,Kaspa,10,1010,101010,OTHER,2024-05-23
ena,ENA,Ethena,30,3010,301040,ETH,2024-05-23
nexo,NEXO,NEXO,30,3020,302010,ETH,2024-05-23
vvv,VVV,Venice Token,30,3040,304020,ETH,2024-05-23
jst,JST,JUST,30,3010,301030,TRX,2024-05-23
apt,APT,Aptos,20,2010,201010,MOVE,2024-05-23
fil,FIL,Filecoin,30,3040,304020,OTHER,2024-05-23
flr,FLR,Flare,20,2010,201010,OTHER,2024-05-23
arb,ARB,Arbitrum,20,2020,202010,ETH,2024-05-23
jup,JUP,Jupiter,30,3010,301010,SOL,2024-05-23
