date,btc,eth,bnb,xrp,sol,trx,doge,zec,ada,bch,link,ton,xlm,sui,ltc,avax,hbar,shib,near,xaut,uni,dot,paxg,ondo,wlfi,aster,sky,pepe,icp,etc,aave,morpho,atom,algo,render,pol,wld,ena,apt,fil,arb,jup,pump,pengu,dash,bonk,night,inj,virtual,trump,fet,stx,kite,chz,sei,tia,2z,xtz,crv,zro,ethfi,pendle,pyth,kaia,lit,cfx,ldo,floki,grt,op,strk,iota,ens,jto,xpl,comp,ray,axs,theta,neo,wif,sand,sonic,cfg,mana,gala,cvx,eigen,bat,zk,imx,ape,ar,glm,vaulta,1inch,dydx,kaito,egld,sent,sahara,zen,rsr,lpt,snx,bera,gas,linea,qtum,kmno,tao,nexo,jst,vet,sun,dcr,jasmy,genius,ff,wal,rune,twt,qnt,gno,0g,cake,banana,hype,xmr,cc,cro,mnt,okb,pi,kas,vvv,flr,xdc,aero,h,spx,btt,mon,prime,tel,nft,grass,bill,edge,sosovalue,ip,ath,hnt,safe,fluid,pieverse
2024-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-24,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-25,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-26,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-27,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-28,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-29,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-30,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-05-31,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-01,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-02,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-03,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-04,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-05,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-06,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
2024-06-07,101010,201010,302030,102030,201010,201010,102010,102020,201010,101010,203010,,102030,201010,101010,201010,201010,102010,201010,,301010,202030,402010,,,,,102010,201010,201010,301030,,202030,201010,,,203020,301040,201010,304020,202010,301010,,,102020,102010,,201010,,,304020,201010,,305030,201010,202030,,201010,301010,,301091,301060,203010,,,201010,301090,102010,304010,202010,202010,304040,203020,301090,,301030,301010,305020,306020,201010,102010,305010,,,305010,305020,301060,,306010,,305020,305020,304020,304020,,301010,301020,,201010,,,102020,301040,306020,301020,,403020,,201010,,304020,302010,301030,201010,301010,101010,304040,,,,301010,304030,304010,201010,,301010,,,102020,,302030,202010,302030,,101010,,201010,201010,,,,304020,,301092,302020,305030,,,,,,,304020,304030,,
